room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
30423,129623,Private room,,TS20,0,,2.0,1.0,71.0,7.0,1.297959,103.838828,2015-06-29 01:27:05.433
50620,231938,Entire home/apt,,TS28,0,,,4.0,1015.0,7.0,1.31538,103.838727,2015-06-29 01:07:02.932
56334,266763,Private room,,MK13,19,5.0,1.0,1.0,63.0,6.0,1.442465,103.796674,2015-06-28 16:24:45.478
69694,350259,Private room,,TS21,0,,1.0,1.0,235.0,2.0,1.298891,103.836881,2015-06-28 23:18:49.393
252903,1328128,Entire home/apt,,MK25,10,5.0,2.0,2.0,235.0,3.0,1.309095,103.896062,2015-06-29 01:40:47.288
71609,367042,Private room,,MK28,8,4.5,,1.0,228.0,1.0,1.345407,103.957118,2015-06-29 01:03:36.484
71896,367042,Private room,,MK28,15,4.0,3.0,1.0,95.0,1.0,1.345675,103.959627,2015-06-29 01:27:26.512
71903,367042,Private room,,MK28,13,4.5,3.0,1.0,93.0,1.0,1.347017,103.961033,2015-06-29 01:33:44.032
71907,367042,Private room,,MK27,13,4.0,,1.0,190.0,1.0,1.343483,103.963372,2015-06-29 01:37:16.668
71915,367042,Private room,,MK28,11,4.0,2.0,1.0,95.0,1.0,1.345796,103.961777,2015-06-29 01:43:32.484
129567,639004,Private room,,MK13,9,5.0,1.0,1.0,84.0,4.0,1.433454,103.798718,2015-06-28 22:46:13.780
151547,729617,Private room,,TS21,15,5.0,1.0,1.0,113.0,7.0,1.29988,103.835863,2015-06-29 01:56:52.448
206782,1017645,Private room,,MK28,24,5.0,,1.0,461.0,2.0,1.324402,103.913915,2015-06-29 01:08:17.123
217959,1126372,Private room,,MK18,3,4.5,1.0,1.0,70.0,1.0,1.386137,103.872839,2015-06-28 23:52:21.358
224813,882659,Private room,,TS30,33,5.0,1.0,1.0,93.0,,1.27938,103.8525,2015-06-28 23:03:08.890
241503,1017645,Private room,,MK28,99,5.0,5.0,1.0,150.0,2.0,1.323038,103.913631,2015-06-28 23:46:03.776
241508,1017645,Private room,,MK28,135,5.0,,1.0,150.0,2.0,1.324582,103.911627,2015-06-28 23:50:28.180
241510,1017645,Private room,,MK28,137,5.0,2.0,1.0,103.0,2.0,1.324606,103.911907,2015-06-28 23:52:02.170
253690,1332459,Private room,,MK01,31,4.5,2.0,1.0,82.0,3.0,1.280687,103.804852,2015-06-29 01:56:36.494
261586,708371,Private room,,MK02,1,4.0,2.0,1.0,85.0,1.0,1.292981,103.807879,2015-06-29 01:24:02.439
262704,1378871,Private room,,MK03,15,5.0,2.0,1.0,133.0,1.0,1.305508,103.784452,2015-06-28 23:05:18.225
267124,1276207,Private room,,MK18,163,5.0,2.0,1.0,92.0,1.0,1.360697,103.867405,2015-06-29 00:04:13.389
273458,1306598,Private room,,TS23,10,4.5,2.0,1.0,109.0,2.0,1.273049,103.844482,2015-06-28 23:06:56.433
275343,1439258,Private room,,MK01,7,4.5,1.0,1.0,55.0,14.0,1.288752,103.80814,2015-06-29 00:28:49.640
275344,1439258,Private room,,MK01,8,5.0,1.0,1.0,52.0,14.0,1.288374,103.810994,2015-06-29 00:29:37.783
289234,367042,Private room,,MK28,5,5.0,,1.0,355.0,2.0,1.345611,103.959835,2015-06-29 01:23:31.874
291010,1508861,Private room,,TS20,9,4.0,2.0,1.0,80.0,5.0,1.29589,103.839205,2015-06-29 01:11:05.710
291012,1508861,Private room,,TS20,7,4.5,2.0,1.0,80.0,5.0,1.295894,103.841126,2015-06-29 01:12:11.354
292498,1511477,Private room,,TS24,8,5.0,2.0,1.0,127.0,2.0,1.2977,103.826965,2015-06-29 00:31:35.977
294281,1521514,Private room,,TS28,75,4.5,2.0,1.0,66.0,3.0,1.312038,103.842192,2015-06-29 00:23:39.404
294692,882659,Private room,,TS30,37,5.0,2.0,1.0,140.0,4.0,1.278734,103.8521,2015-06-28 22:54:28.456
320422,951965,Private room,,MK27,1,5.0,2.0,1.0,91.0,1.0,1.322239,103.940477,2015-06-29 00:48:38.468
329890,882659,Private room,,TS30,25,4.5,1.0,1.0,118.0,5.0,1.280241,103.85227,2015-06-29 00:44:27.361
330089,1439258,Private room,,MK01,5,5.0,1.0,1.0,55.0,14.0,1.286774,103.812438,2015-06-28 23:54:10.770
369141,1521514,Private room,,TS28,16,4.5,2.0,1.0,63.0,2.0,1.312291,103.841625,2015-06-29 01:52:41.419
369145,1521514,Private room,,TS28,80,4.0,2.0,1.0,61.0,3.0,1.314214,103.843906,2015-06-29 01:55:29.897
375563,1889025,Private room,,TS16,0,,2.0,1.0,65.0,1.0,1.30795,103.856694,2015-06-28 16:21:47.833
416833,2072955,Private room,,MK31,14,4.5,2.0,1.0,95.0,1.0,1.359426,103.968372,2015-06-28 23:21:45.559
423875,367042,Private room,,MK28,7,4.5,4.0,1.0,99.0,1.0,1.348382,103.959197,2015-06-29 01:11:36.774
426656,2100566,Private room,,MK17,0,,1.0,1.0,82.0,1.0,1.327745,103.813214,2015-06-29 00:43:10.294
436367,2167514,Private room,,MK03,5,4.5,2.0,1.0,187.0,2.0,1.281722,103.798344,2015-06-29 00:28:53.437
451687,2243522,Private room,,MK02,5,5.0,2.0,1.0,83.0,1.0,1.32293,103.809423,2015-06-28 23:52:46.891
466653,2273043,Private room,,MK17,27,5.0,2.0,1.0,99.0,1.0,1.335125,103.869932,2015-06-29 01:32:10.120
466666,731865,Entire home/apt,,MK01,12,5.0,2.0,1.0,190.0,10.0,1.29022,103.808506,2015-06-29 01:42:17.902
468782,2327208,Private room,,MK18,56,4.5,2.0,1.0,61.0,3.0,1.362801,103.86446,2015-06-28 23:03:41.048
469330,2329280,Entire home/apt,,TS20,54,5.0,3.0,1.0,171.0,4.0,1.293823,103.842972,2015-06-28 23:33:57.613
503538,2483376,Private room,,TS02,18,5.0,1.0,1.0,113.0,2.0,1.279503,103.847998,2015-06-29 01:50:15.959
540039,2273043,Entire home/apt,,MK17,90,5.0,2.0,1.0,110.0,1.0,1.336179,103.868465,2015-06-29 00:21:26.622
542332,1358438,Private room,,TS27,6,5.0,2.0,1.0,127.0,3.0,1.309074,103.838614,2015-06-29 00:11:26.206
544430,2677354,Entire home/apt,,TS12,10,4.5,2.0,1.0,174.0,1.0,1.303353,103.852236,2015-06-29 00:55:21.520
553229,1030128,Private room,,MK06,5,5.0,2.0,1.0,63.0,3.0,1.341346,103.711388,2015-06-28 16:23:08.067
569272,2802173,Private room,,TS28,0,,2.0,1.0,89.0,3.0,1.316439,103.844342,2015-06-29 01:03:26.108
570099,2235699,Entire home/apt,,MK03,3,4.5,2.0,1.0,188.0,3.0,1.301434,103.788767,2015-06-29 01:50:57.523
594787,1017909,Private room,,TS21,8,4.5,1.0,1.0,42.0,12.0,1.296153,103.831894,2015-06-28 23:48:50.097
601503,877088,Entire home/apt,,TS03,0,,,2.0,376.0,1.0,1.274573,103.844273,2015-06-29 00:41:48.556
606819,3006418,Private room,,TS24,4,5.0,1.0,1.0,108.0,3.0,1.295758,103.828523,2015-06-28 23:49:14.129
625055,344367,Private room,,TS26,7,4.0,1.0,1.0,76.0,1.0,1.313544,103.829706,2015-06-29 00:42:09.916
642291,2477933,Entire home/apt,,TS30,11,5.0,2.0,1.0,159.0,3.0,1.279908,103.853281,2015-06-29 01:51:06.727
654191,2413412,Private room,,TS17,1,2.5,2.0,1.0,52.0,1.0,1.310703,103.858523,2015-06-29 00:00:43.244
662695,1497324,Private room,,TS05,94,4.0,2.0,1.0,69.0,2.0,1.281567,103.842841,2015-06-29 00:48:57.313
681246,3469069,Private room,,MK05,26,5.0,2.0,1.0,63.0,2.0,1.316859,103.762086,2015-06-28 22:44:22.557
692762,1497324,Private room,,TS06,63,4.0,2.0,1.0,67.0,2.0,1.284416,103.84358,2015-06-28 22:40:14.393
692768,1497324,Private room,,TS06,48,4.0,2.0,1.0,74.0,2.0,1.282947,103.843374,2015-06-28 22:46:47.947
694638,1497324,Private room,,TS06,124,4.0,1.0,1.0,44.0,2.0,1.28326,103.844141,2015-06-28 23:59:13.137
